S0,sigma,r,T,barriere,coupon,moneyness,prix_mc
93.72700594236812,0.21809065608323264,0.02494563273866794,2.0,100.0,0.07103947195783801,0.9372700594236812,0.9960857839419885
122.53571532049581,0.24203069781250644,0.023316483849256133,1.0,100.0,0.10581271243801753,1.225357153204958,1.0598179016501448
111.59969709057026,0.35636421796065415,0.0170461565001144,1.0,100.0,0.09710876150915537,1.1159969709057025,1.038526713937869
104.93292420985183,0.20200131581796765,0.03429066680405952,2.0,100.0,0.08053461349558362,1.0493292420985183,0.9970480733492909
82.80093202212183,0.36089490544365144,0.029064966420345156,3.0,100.0,0.06793775299360348,0.8280093202212183,0.962375191549855
82.79972601681013,0.12644032929300747,0.04462803969296015,3.0,100.0,0.0541490950737584,0.8279972601681013,0.9152063694977823
77.90418060840997,0.3330395311625893,0.01128438321928233,2.0,100.0,0.07362539049132308,0.7790418060840998,1.0079165969649366
118.30880728874676,0.35426428991642095,0.035754717102205055,3.0,100.0,0.08220138374283248,1.1830880728874675,0.9695887888176727
105.05575058716045,0.15454529585120164,0.04051795514046245,3.0,100.0,0.09809166866498437,1.0505575058716046,0.9747704893229455
110.40362888980228,0.22910395971166014,0.040379462767532286,3.0,100.0,0.09521803684625017,1.1040362888980229,0.970822832317629
76.02922471479012,0.14964993239909669,0.045442958683821005,2.0,100.0,0.11631414320523145,0.7602922471479012,0.9450695401009824
123.49549260809971,0.3119812386982654,0.03916134971317976,1.0,100.0,0.057027714333700276,1.234954926080997,1.0023947148557593
116.62213204002109,0.26060433041849707,0.04711240246590785,1.0,100.0,0.07354380860153954,1.1662213204002108,1.0061225791910262
85.61695553391381,0.29059700401249633,0.023306263992835658,1.0,100.0,0.08371046573558288,0.8561695553391381,0.9990934511901077
84.09124836035502,0.15894609008686336,0.030128376670061723,1.0,100.0,0.09694870556977925,0.8409124836035502,0.9861061333479662
84.17022549267169,0.16352375861572588,0.010563186531315627,1.0,100.0,0.08468161840089844,0.8417022549267169,1.001390846227222
90.21211214797688,0.11244919765297191,0.010278303492131649,3.0,100.0,0.1138930762362717,0.9021211214797689,1.0498775516745824
101.2378215816119,0.19662026055871895,0.019605064818060795,3.0,100.0,0.09260706419198694,1.012378215816119,1.0257627182069595
